id;type;coefficient;description
1;EXCITABLE_TYPE;54193;human-resource service-desk Handmade Plastic Ball
2;DEMONSTRATIVE_TYPE;17223;Jewelery Keyboard
3;EMOTIONALLY_TYPE;85512;bifurcated
4;HYPERTHYMIC_TYPE;15007;Granite digital Mill
5;DYSTHYMIC_TYPE;42927;Armenian Dram Web Intelligent Wooden Car
6;ANXIOUSLY_FEARFULL_TYPE;32030;Cotton Human Industrial
7;HYPERTHYMIC_TYPE;27014;Cross-platform Investment Account
8;PEDANTIC_TYPE;1193;incentivize parse
9;STUCK_TYPE;7686;functionalities Handcrafted Plastic Towels mindshare
10;HYPERTHYMIC_TYPE;43093;Small Steel Table
